nm_name,st_name_clean,st_name,nm_city,st_area,st_road,st_address,st_url,st_score,st_price,st_total_com,st_tag,longitude,latitude
寧夏夜市,放羊吃草新疆羊肉串,放羊吃草新疆羊肉串,台北市,大同區,, ,https://www.google.com/maps/place/%E6%94%BE%E7%BE%8A%E5%90%83%E8%8D%89%E6%96%B0%E7%96%86%E7%BE%8A%E8%82%89%E4%B8%B2/data=!4m7!3m6!1s0x3442a9f6db7b9abd:0x941a08356e5cc0e2!8m2!3d25.056394!4d121.5153051!16s%2Fg%2F11sf7zk9xt!19sChIJvZp72_apQjQR4sBcbjUIGpQ?authuser=0&hl=zh-TW&rclk=1,3.3,$1-200,41,"孜然,香,調味,夜市,鹹,鹿肉,零錢,抽煙,故意,臉",25.056394,121.5153051
寧夏夜市,好吸飲料店,好吸飲料店,台北市,大同區,, ,https://www.google.com/maps/place/%E5%A5%BD%E5%90%B8%E9%A3%B2%E6%96%99%E5%BA%97/data=!4m7!3m6!1s0x3442a963d9a508f1:0x8bd6b3973a5d49c2!8m2!3d25.0556497!4d121.5152022!16s%2Fg%2F11jt4hnyv8!19sChIJ8Qil2WOpQjQRwkldOpez1os?authuser=0&hl=zh-TW&rclk=1,1.8,$1-200,4,"西瓜,酸",25.0556497,121.5152022
東大門夜市,亮點藝術玻璃,亮點藝術玻璃,花蓮縣,花蓮市,,G46,"https://www.google.com/maps/place/%E4%BA%AE%E9%BB%9E%E8%97%9D%E8%A1%93%E7%8E%BB%E7%92%83/@23.9718702,121.6081791,17z/data=!3m1!4b1!4m6!3m5!1s0x34689febda3f96f7:0xfd7f5b2200d11a11!8m2!3d23.9718702!4d121.610754!16s%2Fg%2F11fy4nsr40?entry=ttu&g_ep=EgoyMDI1MDQyMS4wIKXMDSoJLDEwMjExNDUzSAFQAw%3D%3D",5.0,,2,,23.9718702,121.610754
東大門夜市,東大門福町夜市C10攤位,東大門福町夜市C10攤位(愛丸棺材板),花蓮縣,花蓮市,,C10攤位,"https://www.google.com/maps/place/%E6%9D%B1%E5%A4%A7%E9%96%80%E7%A6%8F%E7%94%BA%E5%A4%9C%E5%B8%82C10%E6%94%A4%E4%BD%8D(%E6%84%9B%E4%B8%B8%E6%A3%BA%E6%9D%90%E6%9D%BF)/@23.9737294,121.6089191,17z/data=!3m1!4b1!4m6!3m5!1s0x34689f8f9f5ecebd:0x513334c53c55f47e!8m2!3d23.9737294!4d121.611494!16s%2Fg%2F11v5t3pk7y?entry=ttu&g_ep=EgoyMDI1MDQyMS4wIKXMDSoJLDEwMjExNDUzSAFQAw%3D%3D",4.0,,1,,23.9737294,121.611494
東大門夜市,豬大郎豬血糕,豬大郎豬血糕,花蓮縣,花蓮市,, 原住民,"https://www.google.com/maps/place/%E8%B1%AC%E5%A4%A7%E9%83%8E%E8%B1%AC%E8%A1%80%E7%B3%95/@23.9722085,121.6095969,17z/data=!3m1!4b1!4m6!3m5!1s0x34689fc9839c103b:0x8ab5963c51a1b926!8m2!3d23.9722085!4d121.6121718!16s%2Fg%2F11t4hcqnpl?entry=ttu&g_ep=EgoyMDI1MDQyMS4wIKXMDSoJLDEwMjExNDUzSAFQAw%3D%3D",3.6,$1-200,37,"花生粉,香菜,價格,米酒,辣醬,米血,注意,蒸",23.9722085,121.6121718
東大門夜市,泰哥Tiger泰式手沖奶茶,泰哥Tiger泰式手沖奶茶,花蓮縣,花蓮市,,C32,"https://www.google.com/maps/place/%E6%B3%B0%E5%93%A5Tiger%E6%B3%B0%E5%BC%8F%E6%89%8B%E6%B2%96%E5%A5%B6%E8%8C%B6/@23.9727192,121.6091624,17z/data=!3m1!4b1!4m6!3m5!1s0x34689fa0e11afa0b:0x6128b08d5842128b!8m2!3d23.9727192!4d121.6117373!16s%2Fg%2F11q40h5wqf?entry=ttu&g_ep=EgoyMDI1MDQyMS4wIKXMDSoJLDEwMjExNDUzSAFQAw%3D%3D",3.4,$1-200,63,"甜,飲品,泰式奶茶,道,價格,夜市,蓋子,檸茶,冰塊,臉",23.9727192,121.6117373
東大門夜市,喜樂冰品,喜樂冰品-花蓮東大門夜夜市E23,花蓮縣,花蓮市,,970花蓮縣花蓮市,"https://www.google.com/maps/place/%E5%96%9C%E6%A8%82%E5%86%B0%E5%93%81-%E8%8A%B1%E8%93%AE%E6%9D%B1%E5%A4%A7%E9%96%80%E5%A4%9C%E5%A4%9C%E5%B8%82E23/@23.9718991,121.6095972,17z/data=!3m1!4b1!4m6!3m5!1s0x34689fdd57249cd5:0x82b9dc5d9b651d3f!8m2!3d23.9718991!4d121.6121721!16s%2Fg%2F11l33b6759?entry=ttu&g_ep=EgoyMDI1MDQyMS4wIKXMDSoJLDEwMjExNDUzSAFQAw%3D%3D",4.0,$1-200,11,"牛奶,木瓜,蘋果,價格",23.9718991,121.6121721
東大門夜市,億大雪花冰,億大雪花冰,花蓮縣,花蓮市,,",自強夜市2區,D44號攤位","https://www.google.com/maps/place/%E5%84%84%E5%A4%A7%E9%9B%AA%E8%8A%B1%E5%86%B0/@23.9711858,121.6084294,17z/data=!3m1!4b1!4m6!3m5!1s0x34689febdfd472f1:0xca190a1f9059859c!8m2!3d23.9711858!4d121.6110043!16s%2Fg%2F11gc43b1wc?entry=ttu&g_ep=EgoyMDI1MDQyMS4wIKXMDSoJLDEwMjExNDUzSAFQAw%3D%3D",4.9,,551,"花生,苦,蔓越莓,腰果,百香果,哈密瓜,酸酸甜甜,冰磚,香蕉,專利",23.9711858,121.6110043
東大門夜市,蛤蜊波特熱炒燒烤Bar,蛤蜊波特熱炒燒烤Bar(哈力坡特熱炒燒烤),花蓮縣,花蓮市,,中山門C23,"https://www.google.com/maps/place/%E8%9B%A4%E8%9C%8A%E6%B3%A2%E7%89%B9%E7%86%B1%E7%82%92%E7%87%92%E7%83%A4Bar%EF%BC%88%E5%93%88%E5%8A%9B%E5%9D%A1%E7%89%B9%E7%86%B1%E7%82%92%E7%87%92%E7%83%A4%EF%BC%89/@23.9729893,121.6095635,17z/data=!3m1!4b1!4m6!3m5!1s0x34689f262a281b8d:0x837f1e0b9805a081!8m2!3d23.9729893!4d121.6121384!16s%2Fg%2F11s_zq8m8x?entry=ttu&g_ep=EgoyMDI1MDQyMS4wIKXMDSoJLDEwMjExNDUzSAFQAw%3D%3D",3.2,$200-400,145,"炒飯,價格,蝦,夜市,桌,外送,水蓮,店員,料理,三溫暖",23.9729893,121.6121384
東大門夜市,尚品滷滷味味,尚品滷滷味味,花蓮縣,花蓮市,,自強夜市第二區D43,"https://www.google.com/maps/place/%E5%B0%9A%E5%93%81%E6%BB%B7%E6%BB%B7%E5%91%B3%E5%91%B3/@23.9711995,121.6084662,17z/data=!3m1!4b1!4m6!3m5!1s0x34689f430d254625:0xac257b90252c1073!8m2!3d23.9711995!4d121.6110411!16s%2Fg%2F11gk8nhb66?entry=ttu&g_ep=EgoyMDI1MDQyMS4wIKXMDSoJLDEwMjExNDUzSAFQAw%3D%3D",2.8,$1-200,50,"蔬菜,夜市,醬油,碗,垃圾桶,雷,火鍋,臭,衛生,外帶",23.9711995,121.6110411
